,ID_REF,PROBE_ID,IDENTIFIER
247,1552610_a_at,247,JAK1
248,1552611_a_at,248,JAK1
249,1552612_at,249,CDC42SE2
250,1552613_s_at,250,CDC42SE2
251,1552615_at,251,ACACB
252,1552616_a_at,252,ACACB
253,1552617_a_at,253,RFWD2
254,1552618_at,254,STX6
255,1552619_a_at,255,ANLN
256,1552620_at,256,SPRR4
257,1552621_at,257,UPK3BL
258,1552622_s_at,258,UPK3BL
259,1552623_at,259,HSH2D
260,1552625_a_at,260,TRNT1
261,1552626_a_at,261,TMEM163
262,1552627_a_at,262,ARHGAP5
263,1552628_a_at,263,HERPUD2
264,1552629_a_at,264,JMJD6
265,1552630_a_at,265,SRCAP
266,1552631_a_at,266,MAP3K6
267,1552632_a_at,267,ARSG
268,1552633_at,268,ZNF101
269,1552634_a_at,269,ZNF101
270,1552637_at,270,PTPN11
271,1552639_at,271,KLHDC7B
272,1552641_s_at,272,ATAD3B
273,1552643_at,273,ZNF626
274,1552644_a_at,274,PHC3
275,1552646_at,275,IL11RA
276,1552648_a_at,276,TNFRSF10A
277,1552649_a_at,277,RAD51L3-RFFL
278,1552651_a_at,278,RAD51L3-RFFL
279,1552652_at,279,HPS4
280,1552656_s_at,280,UHMK1
281,1552657_a_at,281,TXNDC2
282,1552658_a_at,282,NAV3
283,1552660_a_at,283,C5orf22
284,1552661_at,284,PCDHGB7
285,1552662_a_at,285,PCDHGB7
286,1552663_a_at,286,ERC1
287,1552664_at,287,FLCN
288,1552665_at,288,JMJD1C-AS1
289,1552666_a_at,289,LRRC7
290,1552667_a_at,290,SH2D3C
291,1552669_at,291,PPP1R3B
292,1552670_a_at,292,PPP1R3B
293,1552671_a_at,293,SLC9A7
294,1552672_a_at,294,IGSF3
295,1552673_at,295,RFX6
296,1552674_at,296,DIRC1
297,1552675_at,297,DNAJB7
298,1552676_at,298,UCN3
299,1552677_a_at,299,DIP2A
300,1552678_a_at,300,USP28
301,1552680_a_at,301,KNL1
302,1552682_a_at,302,KNL1
303,1552684_a_at,303,SENP8
304,1552685_a_at,304,GRHL1
305,1552686_at,305,CNBD2
306,1552687_a_at,306,CNBD2
307,1552689_at,307,CASKIN1
308,1552690_a_at,308,CACNA2D4
309,1552691_at,309,ARL11
310,1552693_at,310,ARL11
311,1552694_at,311,SLC2A13
312,1552695_a_at,312,SLC2A13
313,1552696_at,313,NIPA1
314,1552698_at,314,TUBA3FP
315,1552701_a_at,315,CARD16
316,1552703_s_at,316,CARD16
317,1552705_at,317,DUSP19
318,1552708_a_at,318,DUSP19
319,1552711_a_at,319,CYB5D1
320,1552712_a_at,320,NMNAT2
321,1552713_a_at,321,SLC4A1
322,1552714_at,322,CREG2
323,1552715_a_at,323,RXFP1
324,1552716_at,324,SPEF2
325,1552717_s_at,325,CEP170P1
326,1552718_at,326,DTD1
327,1552719_at,327,CASC4
